Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Power Reactor|46702|SEABROOK|FPL ENERGY SEABROOK|1|MANCHESTER|NH|ROCKINGHAM||Y|05000443|1|||[1] W-4-LP|JEFF MCNALLY|JOHN SHOEMAKER|3/28/2011 00:00:00|12:38|3/28/2011 00:00:00|11:43|EDT|3/28/2011 00:00:00|UNUSUAL EVENT|50.72(a) (1) (i)|EMERGENCY DECLARED|||||||RAY POWELL|R1DO|SCOTT MORRIS|IRD|MIKE CHEOK|NRR|ERIC LEEDS|NRR|DAVID LEW|R1|DENNIS VIN|FEMA|ROD BRADSHAW|DHS|||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||UNUSUAL EVENT DECLARED DUE TO SMOKE COMING FROM AN ELEVATOR CONTROL CABINET  At 1129 EDT on 03/28/11, smoke was detected coming from an elevator power supply transformer in the "B" Residual Heat Removal (RHR) vault.  The licensee declared a Unusual Event at 1143 EDT.  At 1146 EDT the fire brigade responded and found smoke only and no flame.  The smoke stopped when the cabinet was de-energized.  At 1158 EDT, the fire was proven to be out when the cabinet was opened.  No fire fighting extinguishing agents were used.  There was no damage to other plant equipment and no personnel injuries.  At 1151 EDT, the licensee notified the States of New Hampshire and Massachusetts and at 1209 EDT, activated their Technical Support Center (TSC).  The plant was operating at 100% power and remained stable during and after the event.    The licensee notified the NRC Resident Inspector.  * * * UPDATE FROM JEFF MCNALLY TO JOHN SHOEMAKER AT 1341 EDT ON 03/28/11 * * *  "At 1243 EDT on 03/28/11, the Unusual Event was terminated.  Subsequent investigation has revealed that no plant equipment damage beyond a power transformer that supplies an equipment elevator occurred.  There was no indication of [visible] flame (smoke only) and no personnel injuries as a result of the event."  The licensee notified the NRC Resident Inspector.  Notified R1DO (Powell), NRR EO (Cheok), IRD (Morris).|
Power Reactor|46704|NINE MILE POINT|CONSTELLATION NUCLEAR|1|SYRACUSE|NY|OSWEGO||Y|05000220|1|||[1] GE-2,[2] GE-5|BETHANY HINCKLEY|JOE O'HARA|3/29/2011 00:00:00|02:48|3/29/2011 00:00:00|01:55|EDT|3/29/2011 00:00:00|UNUSUAL EVENT|50.72(a) (1) (i)|EMERGENCY DECLARED|||||||RAY POWELL|R1DO|WILLIAM DEAN|RA|JACK GROBE|NRR|SCOTT MORRIS|IRD|MIKE CHEOK|NRR|HILL|DHS|BARDEN|FEMA|||||||N|N|0|Refueling|0|Refueling|N|N|0||0||N|N|0||0||ELECTRICAL FIRE IN THE DRYWELL ON A PIECE OF LIFTING EQUIPMENT  "At approximately 0145 EDT, the Unit 1 control room was notified of elevated carbon monoxide (CO) levels in the Unit 1 Drywell. The cause of the elevated CO was a small fire on a 'Lift-A-Loft'. The fire was immediately extinguished followed by an evacuation of all personnel from the Drywell.  "Follow up atmosphere samples indicated carbon monoxide levels above the OSHA Threshold of 50 PPM. Readings were as high as 79 PPM and have been slowly lowering since the initial response. These values are considered to affect the health of plant personnel or safe plant operation and an Unusual Event was declared at 0155 EDT.  "As of 0225 EDT, all values within the Unit 1 Drywell have been confirmed to be below the 50 PPM threshold.   "As of 0226 EDT, the Unusual Event has been terminated."  There were no injuries, no offsite assistance required, and the NRC Senior Resident Inspector responded to the site.   The licensee notified the NRC Senior Resident Inspector, the State Emergency Communication Center, and the Oswego County Warning Point.  No press release is planned.|
Power Reactor|46707|BRAIDWOOD|EXELON NUCLEAR CO.|3|BRACEVILLE|IL|WILL||Y|05000456|1|2||[1] W-4-LP,[2] W-4-LP|JOE KLEVORN|HOWIE CROUCH|3/30/2011 00:00:00|01:34|3/29/2011 00:00:00|20:00|CDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|50.72(b)(3)(v)(B)|POT RHR INOP|||||HIRONORI PETERSON|R3DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||POTENTIAL VOIDING IN AUXILIARY FEEDWATER ALTERNATE SUCTION LINE  "The design of the Auxiliary Feedwater (AF) system is for the AF pumps to normally take suction from the condensate storage tank.  If the condensate storage tank is not available, the essential service water system provides the alternate supply.  Due to the AF system suction piping and valve configuration, a voided section of pipe could exist in the portion that isolates the condensate storage tank supply from the essential service water supply.  A preliminary vendor analysis has determined that the void fraction to reach the pump in a dynamic scenario exceeds the acceptance criteria for AF pump operability.  Based on past operation in this configuration, the event is being reported as a unanalyzed condition that significantly degrades plant safety and a condition that could have prevented the fulfillment of a safety function (i.e., remove residual heat) under 10CFR50.72(b)(3)(ii) and 10CFR50.72(b)(3)(v).  Further review of the void model and pump performance characteristics are planned.  "In 2011, prior to the completion of this analysis, the void was refilled and verified full for the 'B' trains at Braidwood U1 and U2.  Filling the voided piping of both 'A' trains at Braidwood U1 and U2 is in progress.  Once filled, the AF systems are operable."  The licensee has notified the NRC Resident Inspector.|
Power Reactor|46708|BYRON|EXELON NUCLEAR CO.|3|BYRON|IL|OGLE||Y|05000454|1|2||[1] W-4-LP,[2] W-4-LP|ALAN GUSTAFSON|JOE O'HARA|3/30/2011 00:00:00|01:39|3/29/2011 00:00:00|20:00|CDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|50.72(b)(3)(v)(B)|POT RHR INOP|||||HIRONORI PETERSON|R3DO|||||||||||||||||||N|N|0|Refueling|0|Refueling|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||POTENTIAL VOIDING IN AUXILIARY FEEDWATER ALTERNATE SUCTION LINE  "The design of the Auxiliary Feedwater (AF) system is for the AF pumps to normally take suction from the condensate storage tank. If the condensate storage tank is not available, the essential service water system provides the alternate supply.  Due to the AF system suction piping and valve configuration, a voided section of pipe could exist in the portion that isolates the condensate storage tank supply from the essential service water supply.  A preliminary vendor analysis has determined that the void fraction to reach the pump in a dynamic scenario exceeds the acceptance criteria for AF pump operability.  Based on past operation in this configuration, the event is being reported as a unanalyzed condition that significantly degrades plant safety and a condition that could have prevented the fulfillment of a safety function (i.e., remove residual heat) under 10CFR50.72(b)(3)(ii) and 10CFR50.72(b)(3)(v).  Further review of the void model and pump performance characteristics are planned.  "In 2011, prior to the completion of this analysis. The void was refilled and verified full for both trains at Byron U1 and U2."  Unit 1 is defueled.  This condition affects both 'A' and 'B' trains of auxiliary feedwater for both Unit 1 and Unit 2.  The NRC Resident Inspector has been notified.|
Power Reactor|46709|MCGUIRE|DUKE POWER|2|CORNELIUS|NC|MECKLENBURG||Y|||2||[1] W-4-LP,[2] W-4-LP|TONY COOK|HOWIE CROUCH|3/30/2011 00:00:00|07:01|3/30/2011 00:00:00|00:10|EDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|||||||MARVIN SYKES|R2DO|||||||||||||||||||N|N|0||0||N|N|0|Cold Shutdown|0|Cold Shutdown|N|N|0||0||CONTROL ROD MALFUNCTION DURING ROD TESTING RESULTS IN OPERATORS MANUALLY OPENING TRIP BREAKERS  "Rod L-13 did not function as expected during control rod movement test.  This rod is in Shutdown Bank C. When withdrawing this bank, rod L-13 did not withdraw and when the bank was manually inserted, rod L-13 began to withdraw.  The [operating] crew went to Enclosure 13.2 of the procedure to deal with the misaligned rods.  This enclosure has procedural guidance to open the reactor trip breakers, if desired.  The reactor trip breakers were opened and all 211 rods are fully inserted. The reactor was not critical. This activity was performed twice [at the request of reactor engineering]."  The licensee will remain in Mode 5 (Cold Shutdown) until troubleshooting and repair is completed.  The licensee will be notifying the NRC Resident Inspector.|
Fuel Cycle Facility|46710|GLOBAL NUCLEAR FUEL - AMERICAS|GLOBAL NUCLEAR FUEL - AMERICAS|2|WILMINGTON|NC|NEW HANOVER|SNM-1097|Y|07001113||||URANIUM FUEL FABRICATION|SCOTT MURRAY|JOE O'HARA|3/30/2011 00:00:00|09:07|3/29/2011 00:00:00|10:00|EDT|3/30/2011 00:00:00|NON EMERGENCY|PART 70 APP A (b)(1)|UNANALYZED CONDITION|||||||MARVIN SYKES|R2DO|TIM MCCARTIN|NMSS|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||COMPLETION OF ISA ACTION PLAN CONVERSION MILESTONE  "In response to a Notice of Violation (NOV), Global Nuclear Fuels - America (GNFA) committed to perform a review of the existing Integrated Safety Analysis (ISA). An ISA Action Plan and schedule for performing the ISA review was described in GNF-A's response to the NOV and the first milestone (conversion) was scheduled for completion by January 31, 2011. This milestone was subsequently extended by approximately 60 days.  "On 3/29/11, GNF-A completed the ISA review for the conversion area and has identified 87 existing safety controls that are now being designated as items relied on for safety (IROFS). Implementation of the revised safety basis, IROFS and application of management measures to the new IROFS will be completed within 90 days per the ISA Action Plan.  "Because the revised ISA has designated existing safety controls as additional IROFS, GNF-A is making a report of this completion pursuant to the reporting requirements of 10CFR70 Appendix A(b)(1) within 24 hours.  "Safety Significance of Events: There was no event or plant condition that resulted in a degraded safety condition.    "Safety Equipment Status: Existing conversion area safety controls have now been designated as IROFS per ISA Action Plan. Controls are available to perform their safety function.  "Status of Corrective Actions: Conversion Area milestone complete. ISA Action Plan continues."  The licensee intends to discuss this issue further with the State of North Carolina, New Hanover County, and the NRC Region 2 office.|
Power Reactor|46711|SAN ONOFRE|SOUTHERN CALIFORNIA EDISON  COMPANY|4|SAN CLEMENTE|CA|SAN DIEGO||Y|||2|3|[1] W-3-LP,[2] CE,[3] CE|EDGAR DEGIOVANNI|VINCE KLCO|3/30/2011 00:00:00|16:24|3/30/2011 00:00:00|07:00|PDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(xiii)|LOSS COMM/ASMT/RESPONSE|||||||RYAN LANTZ|R4DO|||||||||||||||||||N|N|0||0||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|EMERGENCY SIRENS OUT OF SERVICE DUE TO INADVERTENT SECURING OF POWER  "City of San Clemente inadvertently secured power to 19 Community Alert Sirens. Trouble alarms were received at 0700 [PDT] but it is not known at what time specifically power was removed. All sirens were functional the day before when an inspection was performed on 3/29/2011 at 1213 [PDT]. Power was restored to the sirens at 1145 [PDT] 3/30/2011. This event resulted in 20 community sirens being non-functional for greater than 1 hour.  "Siren State Parks 4 (SP-4) was also non-functional for unrelated reasons and remains out of service."  Power was restored and all but the state park siren capabilities were declared operable.  The licensee notified the NRC Resident Inspector.|
Power Reactor|46712|BRAIDWOOD|EXELON NUCLEAR CO.|3|BRACEVILLE|IL|WILL||Y|||2||[1] W-4-LP,[2] W-4-LP|MIKE DEBOARD|VINCE KLCO|3/30/2011 00:00:00|17:00|3/30/2011 00:00:00|15:38|CDT|3/30/2011 00:00:00|UNUSUAL EVENT||OTHER UNSPEC REQMNT|||||||HIRONORI PETERSON|R3DO|WILLIAM GOTT|IRD|THOMAS BLOUNT|NRR|||||||||||||||N|N|0||0||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||DISCOVERY OF AFTER-THE-FACT EMERGENCY CONDITION (UNUSUAL EVENT)  "An extent of condition review of Braidwood Unit 2 unplanned loss of safety system annunciators Emergency Plan Unusual Event on March 24, 2011 (ENS number 46694) was performed for both Units of Braidwood Station. During this review it was identified that a previous unknown loss of annunciators had also occurred on August 10, 2010 from 1024 to 1136 CT on Unit 2. This condition occurred during planned maintenance on annunciator cabinet 2PA19J power supply capacitors.  "The maintenance performed on August 10, 2010 would normally not cause a loss of all Unit 2 annunciators. During the work, it was expected to lose approximately one third of the annunciators. Latent annunciator system problems identified from the March 24, 2011 event caused a loss of all Unit 2 annunciators and contributed to this condition being unknown to Main Control Room operators. All Unit 2 indications and computer points to the sequence of events recorder remained available and Unit 2 was stable during this timeframe.  "At 1538 CT on 3/30/11, it was determined that the August 10, 2010 condition met the threshold for Emergency Action Level MU6, UNPLANNED loss of most or all safety system annunciation or indication in the control room for greater than 15 minutes. This notification is being made as an undeclared Unusual Event Emergency Plan Classification per 10 CFR 50.72(a)(1)(ii).  "Per NUREG 1022, a 1- hour notification is required when a condition existed which met the emergency plan criteria but no emergency was declared and the basis for the emergency class no longer exists at the time of the discovery."  The licensee notified the NRC Resident Inspector.|
Power Reactor|46713|BROWNS FERRY|TENNESSEE VALLEY AUTHORITY|2|DECATUR|AL|LIMESTONE||Y|05000259|1|||[1] GE-4,[2] GE-4,[3] GE-4|RAY SWAFFORD|DONALD NORWOOD|3/30/2011 00:00:00|19:57|3/30/2011 00:00:00|15:42|CDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(i)|PLANT S/D REQD BY TS|||||||MARVIN SYKES|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||TECHNICAL SPECIFICATION REQUIRED SHUTDOWN INITIATED  "On March 30, 2011 at 1443 CDT, during a refueling outage, Browns Ferry Unit 2 received an invalid Common Accident Signal (CAS) as a result of maintenance activities.  All four Unit 1/2 diesel [generators] auto started and all four Unit 3 diesel [generators] auto started.  Unit 2 received a full Reactor SCRAM and Core Spray pumps A, B, C, and D auto started and injected into the reactor.  Unit 2 Division I RHR [Residual Heat Removal] system was in Shutdown Cooling with only the C pump in service.  The A RHR pump auto started and Shutdown Cooling flow increased, as expected.  Unit 2 Division II RHR system was tagged out for maintenance.  HPCI [High Pressure Coolant Injection] and RCIC [Reactor Core Isolation Cooling] received auto initiation signals, however the steam isolation valves were tagged closed and the systems did not start.  MSIVs [Main Steam Isolation Valves] isolated as a result of the CAS signal.  "Unit 1 was at 100% power when the CAS on Unit 2 occurred.  This caused initiation of the Preferred Pump Logic which designates Division I CS [Core Spray] and LPCI [Low Pressure Coolant Injection] pumps on Unit 1 (1A and 1C) and the Division II pumps on Unit 2 (2B and 2D) and prevents Unit 1 Division II pumps from auto starting.  This resulted in the Division II RHR and CS pumps [being] inoperable for Unit 1.  Unit 1 subsequently entered Technical Specification 3.5.1, Condition H (two or more low pressure ECCS [Emergency Core Cooling System] injection/spray subsystems inoperable) which requires entering LCO 3.0.3 immediately.  "Unit 1 entered LCO 3.0.3 at 1443, which requires that actions shall be initiated within one hour to place the unit in Mode 2 within 10 hours; Mode 3 within 13 hours; and Mode 4 within 37 hours.  At 1542 Unit 1 began lowering power in order to comply with LCO 3.0.3.  "CAS logic was reset at 1812 and Unit 1 exited LCOs 3.5.1.H and 3.0.3.  "This condition requires a four hour report in accordance with 50.72(b)(2)(i) - 'The initiation of any nuclear plant shutdown required by the plant's Technical Specifications.'  "The NRC Resident Inspector was notified.  Service Request #346544 was initiated in the Corrective Action Program."|
Power Reactor|46714|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|ERICK MATZKE|JOE O'HARA|3/31/2011 00:00:00|11:17|3/30/2011 00:00:00|14:05|CDT|3/31/2011 00:00:00|NON EMERGENCY|26.719|FITNESS FOR DUTY|||||||RYAN LANTZ|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||CONTRABAND FOUND INSIDE THE PROTECTED AREA  "While cleaning out portable toilets being used at the site, the waste disposal vendor employee discovered a two ounce (shot sized) liquor bottle in one of the units. The unit had been on-site since 2/25/11 and was staged in the Protected Area. The waste disposal vendor indicated that it is unlikely the bottle was in the portable toilet prior to delivery to the site."  The NRC Resident Inspector has been notified.|
Power Reactor|46715|CALLAWAY|AMEREN UE|4|FULTON|MO|CALLAWAY||N|05000483|1|||[1] W-4-LP|MICAH BENNINGFIELD|DONG HWA PARK|3/31/2011 00:00:00|20:50|3/31/2011 00:00:00|14:32|CDT|3/31/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||RYAN LANTZ|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||UNANALYZED CONDITION IDENTIFIED FOR INOPERABLE RWST LEVEL  "In response to a condition identified in late 2010 concerning the control and removal of hazard barriers in the plant, a review of the basis and analysis for high energy line breaks (HELBs) and the barriers for protecting against such events has been underway at Callaway in accordance with the plant's corrective action program. While following up on a question from the NRC Resident Inspector, and as a result of an additional question from the Nuclear Oversight organization at Callaway, it was identified that non-safety piping located in the valve room associated with the Refueling Water Storage Tank (RWST) could potentially [make] all four RWST low water level pressure transmitters inoperable in the event of a malfunction of the non-safety piping concurrent with a design-basis loss-of-coolant accident (LOCA) and/or following a seismic event. The RWST water level transmitters (which are located in the RWST valve room) perform a safety-related function for the emergency core cooling system (ECCS) by automatically swapping suction sources for the ECCS during a LOCA from the RWST to the containment sumps when a low water level condition is reached in the RWST. These instrument channels are required to be OPERABLE in Modes 1, 2, 3 and 4 per Callaway Technical Specification 3.3.2, 'Engineered Safety Feature Actuation System (ESFAS) Instrumentation.'   "The subject non-safety piping delivers steam supplied by the Auxiliary Steam system to (and from) heaters surrounding the RWST for maintaining RWST contents above the minimum required temperature during winter conditions. The piping passes through the RWST valve room containing the noted RWST water level transmitters which were designed only for a mild environment. It has been identified, however, that the non-safety Auxiliary Steam piping constitutes a high energy line and that its failure could create harsh (hot and wet) conditions in the valve room to which the RWST water level instrumentation was not designed.  "Per the Callaway FSAR, where non-safety piping interfaces with safety-related piping or systems, the design must be such that failure of the non-safety piping does not adversely affect the safety function(s) of the interfacing safety-related piping or system (since non-safety piping may be assumed to malfunction in conjunction with a design-basis accident). In this case, and based on a conservative interpretation of the FSAR, if the non-safety piping in the RWST valve room is assumed to malfunction (i.e., break), a failure of the RWST instrumentation could occur, thereby preventing the ECCS suction swap over from occurring as required or assumed for LOCA mitigation.  "This condition required declaring all four RWST water level channels inoperable. In light of recognizing that the RWST water level instruments could be subject to a harsh environment when they were only designed for a mild environment, and could thus fail as a result, this condition represents an unanalyzed condition that significantly degrades plant safety. With regard to the impact on the required ECCS suction swap over function that requires the RWST water level channels to be operable, the inoperability of all four instrument channels is a condition that could have prevented the fulfillment of the safety function of structures or systems that are needed to shutdown the reactor and maintain it in a safe condition, remove residual heat, control the release of radioactive material, and mitigate the consequences of an accident.  "Upon declaring the RWST water level instrument channels inoperable, TS Limiting Condition for Operation (LCO) 3.0.3 was entered at time 1432 CDT on 3/31/2011. At 1634 CDT, the Auxiliary Steam system was isolated and depressurized. This removed the energy that could be released from a break in the non-safety piping, thereby restoring Operability for the RWST water level instruments.  "The NRC Senior Resident Inspector was notified."|
Power Reactor|46716|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|AMY BURKHART|DONG HWA PARK|3/31/2011 00:00:00|23:32|3/31/2011 00:00:00|21:26|CDT|3/31/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||RYAN LANTZ|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||IDENTIFIED UNSEALED FLOOD BARRIER PENETRATIONS  "During investigations of flood barrier penetrations, two approximately 4 inch conduits have been identified that are not sealed.  These conduits penetrate the south wall of the auxiliary building near the transformers into room 19.  Flooding through the penetrations could have impacted the ability of the station's auxiliary feedwater (AFW) pumps to perform their design accident mitigation functions.    "This eight-hour notification is being made pursuant to 10 CFR 50.72 (b)(3)(v).  "The penetrations are at an approximate elevation of 1007 [feet].  The river level has been less than 997 feet Mean Sea Level (MSL) since prior to December 1, 2010.  The AFW pumps are operable. There are not any indications of conditions that might result in a flood. Actions are in progress to plug the penetrations."  The NRC Resident Inspector has been notified.|
